交易号,账户,金额,渠道,时间,风险信号,风险等级,是否复核
TX4501535,ACC7731,3544.41,代扣,2025-10-18,正常,低,免复核
TX5374822,ACC2824,32494.05,移动,2025-10-14,大额,高,待复核
TX6814374,ACC9132,37675.93,代扣,2025-11-02,大额,高,待复核
TX7492388,ACC3826,63139.74,网银,2025-10-19,高频,中,待复核
TX4871775,ACC7709,5662.96,网银,2025-12-11,正常,低,免复核
TX1833295,ACC3734,57961.53,移动,2025-12-15,大额,中,待复核
TX2157044,ACC6067,30209,移动,2025-12-28,大额,中,待复核
TX7265237,ACC4411,14182.42,POS,2025-12-12,正常,低,免复核
TX1410203,ACC4784,62257.64,代扣,2025-11-22,夜间,高,待复核
TX6674581,ACC7696,15150.24,网银,2025-10-31,正常,低,免复核
TX4279712,ACC1415,58735.86,POS,2025-10-16,大额,中,待复核
TX2395393,ACC7651,50094.28,POS,2025-11-07,异地,高,待复核
TX2641093,ACC8347,44137.13,代扣,2025-10-06,大额,中,待复核
TX2148679,ACC7321,15143.61,网银,2025-11-16,正常,低,免复核
TX5816456,ACC4263,52872.14,代扣,2025-12-07,异地,中,待复核
TX8140266,ACC3053,9523.08,移动,2025-12-07,正常,低,免复核
TX1513829,ACC7428,57153.05,移动,2025-12-27,大额,高,待复核
TX8247502,ACC5501,67242.64,移动,2025-11-17,夜间,中,待复核
TX2705103,ACC6281,77063.1,代扣,2025-12-05,夜间,中,待复核
TX8301898,ACC8917,64359.23,网银,2025-11-07,夜间,中,待复核
TX2076125,ACC7370,45380.83,移动,2025-12-03,夜间,高,待复核
TX1200910,ACC9756,56514.71,网银,2025-10-24,夜间,高,待复核
TX1325230,ACC5438,2246.92,网银,2025-10-17,正常,低,免复核
TX7329698,ACC6011,63360.82,代扣,2025-11-22,高频,高,待复核
TX6398268,ACC5632,7852.73,移动,2025-10-16,正常,低,免复核
TX3305858,ACC1567,67141.45,POS,2025-11-25,高频,中,待复核
TX2191646,ACC1250,12413.54,移动,2025-12-01,正常,低,免复核
TX4386012,ACC4425,18008.01,网银,2025-10-13,正常,低,免复核
TX2612988,ACC7142,8534.06,代扣,2025-12-12,正常,低,免复核
TX8553372,ACC8205,36175.12,代扣,2025-10-03,异地,中,待复核
TX3668876,ACC8733,45389.87,代扣,2025-11-09,异地,高,待复核
TX6697561,ACC9526,27689.01,移动,2025-11-03,正常,低,免复核
TX5006513,ACC1082,4671.7,POS,2025-12-16,正常,低,免复核
TX4642296,ACC6079,9990.69,代扣,2025-12-02,正常,低,免复核
TX2481129,ACC7096,48872.5,POS,2025-10-05,异地,中,待复核
TX8015595,ACC2347,24916.45,代扣,2025-11-10,正常,低,免复核
TX1624512,ACC9861,60453.76,移动,2025-12-16,大额,高,待复核
TX3917806,ACC1738,8392.08,移动,2025-11-01,正常,低,免复核
TX4269964,ACC2708,58810.2,代扣,2025-12-20,大额,中,待复核
TX5358307,ACC2316,34799.7,代扣,2025-11-10,夜间,中,待复核
TX8550726,ACC7843,29535.29,POS,2025-12-29,正常,低,免复核
TX4427201,ACC2262,62711.96,代扣,2025-11-21,大额,中,待复核
TX4283894,ACC2520,33002.37,网银,2025-10-25,高频,高,待复核
TX2207317,ACC8396,65331.75,代扣,2025-11-26,大额,中,待复核
TX1659465,ACC2257,13714.74,POS,2025-12-04,正常,低,免复核
TX3047041,ACC1175,427.45,POS,2025-12-21,正常,低,免复核
TX4657482,ACC9852,38471.71,POS,2025-11-23,夜间,中,待复核
TX3266025,ACC1891,46737.35,代扣,2025-12-16,夜间,中,待复核
TX5496807,ACC1780,39631.03,移动,2025-10-12,夜间,高,待复核
TX7161659,ACC2724,16386.88,网银,2025-10-29,正常,低,免复核
TX5321446,ACC1182,67057.9,移动,2025-10-07,夜间,中,待复核
TX8096109,ACC5480,78484.04,移动,2025-10-04,高频,中,待复核
TX1289329,ACC4457,51239.83,代扣,2025-11-05,高频,高,待复核
TX6711623,ACC2146,79452.32,移动,2025-12-14,大额,高,待复核
TX4275317,ACC2429,76009.11,网银,2025-10-14,异地,中,待复核
TX4158077,ACC5402,58097.21,代扣,2025-11-18,夜间,中,待复核
TX2443750,ACC4752,9640.24,网银,2026-01-01,正常,低,免复核
TX2966062,ACC5729,45964.09,移动,2026-01-01,高频,中,待复核
TX4063138,ACC4965,55829.9,网银,2025-12-18,大额,高,待复核
TX4274843,ACC7396,8894.05,网银,2025-11-08,正常,低,免复核
TX7924838,ACC9630,63317.87,移动,2025-12-26,高频,中,待复核
TX1480720,ACC2084,57543.83,移动,2026-01-01,夜间,中,待复核
TX5745359,ACC9877,16564.54,移动,2025-10-30,正常,低,免复核
TX1894799,ACC1987,69842.39,移动,2025-10-16,高频,中,待复核
TX5130546,ACC8380,46620.05,网银,2025-12-29,大额,中,待复核
TX1342216,ACC1105,26236.2,网银,2025-10-26,正常,低,免复核
TX1023556,ACC9340,70869.22,移动,2025-12-09,异地,高,待复核
TX2393124,ACC1824,77569.35,移动,2025-10-14,高频,中,待复核
TX3347528,ACC7939,43183.39,代扣,2025-10-16,异地,高,待复核
TX2717106,ACC1143,4838.34,POS,2025-12-01,正常,低,免复核
TX6430362,ACC6087,7232,POS,2025-10-09,正常,低,免复核
TX3547948,ACC9491,46043.84,网银,2025-12-28,大额,中,待复核
TX5161762,ACC4456,68332.95,POS,2025-10-03,大额,高,待复核
TX6496645,ACC3365,33622.86,网银,2025-10-07,高频,中,待复核
TX5159935,ACC4878,21924.61,代扣,2026-01-01,正常,低,免复核
TX4585497,ACC6199,27052.27,代扣,2025-12-29,正常,低,免复核
TX8315440,ACC6657,47576.56,网银,2025-10-21,大额,高,待复核
TX7592358,ACC6182,51129.79,移动,2025-10-18,异地,中,待复核
TX4350075,ACC3696,2363.23,移动,2025-11-24,正常,低,免复核
TX3773344,ACC7122,55597.5,代扣,2025-11-02,夜间,中,待复核
TX5263476,ACC6591,23034,移动,2025-11-14,正常,低,免复核
TX6948886,ACC8279,9537.12,POS,2025-11-29,正常,低,免复核
TX4347606,ACC2205,56283.31,代扣,2025-10-10,异地,中,待复核
TX3352051,ACC6718,49410.78,POS,2025-10-24,大额,高,待复核
TX1861492,ACC6154,22379.05,POS,2025-10-24,正常,低,免复核
TX4920078,ACC5874,44783.59,代扣,2025-11-14,异地,中,待复核
TX1486331,ACC3375,55274.57,移动,2025-11-19,大额,中,待复核
TX2823509,ACC4238,24897.84,代扣,2025-11-02,正常,低,免复核
TX5070177,ACC8840,49753.68,代扣,2025-11-02,异地,高,待复核
TX1861916,ACC7930,32065.06,网银,2025-11-10,异地,高,待复核
TX3843370,ACC2066,65153.46,移动,2025-10-14,大额,中,待复核
TX3406018,ACC7123,48789.61,网银,2025-11-03,高频,中,待复核
TX4827185,ACC8170,43562.11,移动,2025-10-24,异地,中,待复核
TX4529399,ACC7666,76050.15,代扣,2025-11-03,大额,中,待复核
TX8340352,ACC7268,39596.6,网银,2025-10-15,夜间,中,待复核
TX7826633,ACC4812,37735.69,POS,2025-12-12,高频,高,待复核
TX3964580,ACC1855,36134.23,移动,2025-12-04,夜间,中,待复核
TX6652603,ACC6387,33696.36,移动,2025-11-10,夜间,中,待复核
TX3177054,ACC7863,3076.68,网银,2025-10-26,异地,中,待复核
TX8702068,ACC9507,11618.74,代扣,2025-12-29,正常,低,免复核
TX2211277,ACC2014,24965.66,代扣,2025-10-25,正常,低,免复核
TX8012677,ACC1130,63544.12,网银,2025-12-09,夜间,高,待复核
TX5119787,ACC2464,36347.7,POS,2025-12-05,大额,中,待复核
TX1511575,ACC9254,70788.44,POS,2025-11-17,高频,中,待复核
TX6591672,ACC2529,16107.54,移动,2025-12-08,正常,低,免复核
TX8519119,ACC9055,60134,网银,2025-10-23,异地,高,待复核
TX8580107,ACC4561,19123.32,网银,2025-12-17,正常,低,免复核
TX8422317,ACC2569,22840.2,代扣,2025-11-05,正常,低,免复核
TX4240141,ACC2319,51160.8,POS,2025-12-27,大额,中,待复核
TX7084278,ACC1983,62677.43,网银,2025-11-22,异地,中,待复核
TX6560872,ACC9705,21112.85,网银,2025-12-25,正常,低,免复核
TX1027162,ACC4536,70913.38,网银,2025-10-15,异地,中,待复核
TX8190786,ACC2410,5352.19,网银,2025-10-10,正常,低,免复核
TX4389603,ACC6834,68656.4,移动,2025-10-15,异地,高,待复核
TX7530449,ACC8204,56667.93,代扣,2025-10-12,大额,中,待复核
TX5539693,ACC8093,60658.93,网银,2025-12-30,大额,中,待复核
TX2333620,ACC8629,14885.36,代扣,2025-12-24,异地,中,待复核
TX6523766,ACC3752,52572.16,代扣,2025-11-17,异地,中,待复核
TX8541972,ACC3360,13011.42,网银,2025-12-24,正常,低,免复核
TX4477727,ACC2372,71701.2,代扣,2025-11-05,异地,高,待复核
TX1887935,ACC2013,47740.17,移动,2025-10-11,夜间,高,待复核
TX3961474,ACC3559,21152.67,POS,2025-10-19,正常,低,免复核
TX5767135,ACC6139,41651.5,POS,2025-11-10,异地,高,待复核
TX7447221,ACC7003,43564.64,POS,2025-10-15,异地,高,待复核
TX8248935,ACC6110,28152.62,网银,2025-10-30,大额,中,待复核
TX8177097,ACC5727,15652.71,POS,2025-11-03,正常,低,免复核
TX6905921,ACC6200,55311.53,移动,2025-10-05,夜间,高,待复核
TX6258561,ACC6848,76777.91,POS,2025-10-23,高频,中,待复核
TX7171302,ACC5118,73929.53,POS,2025-10-30,大额,高,待复核
TX3603272,ACC7343,65219.75,POS,2025-10-18,大额,高,待复核
TX2172153,ACC7767,63730.48,移动,2025-10-13,异地,中,待复核
TX5028490,ACC4456,8516.91,网银,2025-12-11,正常,低,免复核
TX4184638,ACC7784,19561.91,POS,2025-10-23,正常,低,免复核
TX7450791,ACC2682,9863.4,网银,2025-10-06,正常,低,免复核
TX6809748,ACC2737,62659.9,代扣,2025-10-17,夜间,中,待复核
TX2291046,ACC1571,3867.2,移动,2025-11-28,正常,低,免复核
TX6400272,ACC6333,47041.79,移动,2025-12-24,大额,高,待复核
TX4102507,ACC2009,5893.08,代扣,2025-10-08,正常,低,免复核
TX4486273,ACC3309,58784.41,网银,2025-12-01,大额,中,待复核
TX1033432,ACC8494,49106.26,代扣,2025-11-08,大额,高,待复核
TX4885356,ACC9280,17648.45,移动,2025-10-16,正常,低,免复核
TX7910703,ACC4278,47513.13,POS,2025-10-19,异地,高,待复核
TX5028136,ACC4033,17763.19,网银,2025-10-31,正常,低,免复核
TX7873919,ACC7894,67981.82,POS,2025-12-17,夜间,高,待复核
TX3388260,ACC6811,799.33,POS,2026-01-01,正常,低,免复核
TX3716611,ACC9434,50861.35,移动,2025-12-20,大额,高,待复核
TX3873743,ACC9642,7186.68,代扣,2025-11-05,正常,低,免复核
TX2166740,ACC3793,15079.92,移动,2025-12-20,正常,低,免复核
TX4772030,ACC6343,66870.93,网银,2025-10-14,异地,中,待复核
TX4301009,ACC5934,36194.03,网银,2025-12-08,异地,高,待复核
TX7223482,ACC7342,65942.65,网银,2025-11-10,大额,中,待复核
TX3372304,ACC6628,68944.12,代扣,2025-10-11,夜间,中,待复核
TX2312200,ACC3165,7538,代扣,2025-11-15,正常,低,免复核
TX2312260,ACC7700,3776.98,代扣,2025-10-24,正常,低,免复核
TX4261697,ACC4393,33727.53,POS,2025-12-22,异地,高,待复核
TX6645345,ACC2981,36179.66,移动,2025-12-08,夜间,中,待复核
TX2326464,ACC1836,79837.13,网银,2025-11-01,大额,中,待复核
TX7995295,ACC4946,69458.93,代扣,2025-11-10,夜间,高,待复核
TX7618256,ACC7754,75956.07,移动,2025-11-30,夜间,高,待复核
TX3699785,ACC8990,23175.75,网银,2025-12-19,正常,低,免复核
TX2065514,ACC6365,41576.26,网银,2025-10-13,大额,中,待复核
TX6979931,ACC1050,48039.22,移动,2025-10-26,大额,高,待复核
TX2903883,ACC9385,76117.53,代扣,2025-12-15,大额,中,待复核
TX8885076,ACC5972,26658.25,网银,2025-11-20,正常,低,免复核
TX8187984,ACC3717,36762.28,POS,2025-11-02,高频,中,待复核
TX3426811,ACC1944,13768.65,移动,2025-11-26,正常,低,免复核
TX6464262,ACC2314,65008.47,网银,2025-11-28,异地,中,待复核
TX7404716,ACC7488,26626,POS,2025-11-29,正常,低,免复核
TX7100307,ACC7832,22090.79,网银,2025-12-26,正常,低,免复核
TX6964942,ACC9145,50324.12,代扣,2025-10-19,大额,高,待复核
TX3067029,ACC1648,42747.75,POS,2025-12-09,夜间,高,待复核
TX1021620,ACC1142,58805.19,移动,2025-11-28,异地,中,待复核
TX6694214,ACC6837,18921.97,网银,2025-11-25,正常,低,免复核
TX2155330,ACC9054,41453.63,移动,2025-10-07,夜间,中,待复核
TX2445602,ACC1846,47599.85,代扣,2025-11-22,大额,高,待复核
TX6937481,ACC4397,5047.44,代扣,2025-10-20,正常,低,免复核
TX3442797,ACC5733,72143.64,网银,2025-11-04,夜间,中,待复核
TX6226197,ACC7617,55564.92,代扣,2025-11-28,大额,高,待复核
TX1283498,ACC3512,23512.86,移动,2025-11-13,正常,低,免复核
TX1963471,ACC7939,49085.02,POS,2025-11-10,大额,高,待复核
TX8244322,ACC8278,1003.09,POS,2025-12-24,正常,低,免复核
TX8716864,ACC4347,69831.49,网银,2025-11-11,异地,中,待复核
TX4025415,ACC8264,15804.35,代扣,2025-11-06,正常,低,免复核
TX6006769,ACC1338,9823.73,移动,2025-12-25,正常,低,免复核
TX6763598,ACC6479,37512.06,POS,2025-12-06,夜间,中,待复核
TX6064439,ACC9181,53744.83,移动,2025-12-22,异地,中,待复核
TX4699540,ACC5120,53948.67,移动,2025-12-31,异地,中,待复核
TX2010422,ACC5377,3523.04,移动,2025-11-26,正常,低,免复核
TX4324626,ACC3555,30201.13,代扣,2025-11-22,高频,中,待复核
TX3846433,ACC9229,4519.14,移动,2025-11-15,正常,低,免复核
TX8725551,ACC2649,15734.97,POS,2025-12-05,高频,中,待复核
TX8556404,ACC6198,43354.06,移动,2025-11-06,夜间,中,待复核
TX7148828,ACC5841,58856.34,POS,2025-11-18,异地,高,待复核
TX8065954,ACC5625,65655.06,网银,2025-12-05,夜间,中,待复核
TX2511586,ACC7384,50663.98,POS,2025-11-03,异地,高,待复核
TX8226559,ACC7908,56680.1,网银,2025-11-26,异地,中,待复核
TX8842745,ACC2777,13774.83,网银,2025-11-28,正常,低,免复核
TX5804044,ACC4666,6097.06,网银,2026-01-01,异地,高,待复核
TX1175909,ACC9804,56012.15,网银,2025-12-17,异地,中,待复核
TX4478047,ACC1613,30657.89,移动,2025-11-14,异地,中,待复核
TX3512730,ACC2041,33449.84,网银,2025-12-20,异地,中,待复核
TX8639660,ACC6222,34521.48,代扣,2025-12-22,夜间,中,待复核
TX3991514,ACC2372,28086.15,POS,2025-12-25,正常,低,免复核
TX1036345,ACC5773,53799.36,网银,2025-11-26,高频,中,待复核
TX8397609,ACC4825,68777.12,移动,2025-10-23,夜间,高,待复核
TX5608893,ACC1390,27124.3,移动,2025-11-16,正常,低,免复核
TX6144987,ACC3907,21795.27,网银,2025-11-18,正常,低,免复核
TX7881389,ACC4996,9216.58,代扣,2025-10-04,正常,低,免复核
TX8097275,ACC5586,65435.26,移动,2025-10-07,夜间,中,待复核
TX4661123,ACC9382,26398.37,网银,2025-10-10,正常,低,免复核
TX6533634,ACC5186,61728.73,代扣,2025-10-30,大额,中,待复核
TX6514779,ACC1008,26584.49,移动,2025-10-19,异地,高,待复核
TX2007687,ACC8985,74867.94,网银,2025-11-12,异地,高,待复核
TX4231263,ACC3517,48079.38,代扣,2025-11-12,大额,高,待复核
TX5749592,ACC7811,72080.61,代扣,2025-10-17,夜间,高,待复核
TX6976242,ACC7398,6217.46,网银,2025-11-26,正常,低,免复核
TX3464230,ACC5960,20811.83,网银,2025-11-20,异地,高,待复核
TX8966336,ACC9472,19567.61,移动,2025-12-28,正常,低,免复核
TX2452252,ACC5456,15130.87,网银,2025-11-01,正常,低,免复核
TX1193478,ACC9239,19783.7,代扣,2025-12-17,正常,低,免复核
TX4107597,ACC7459,15502.49,移动,2026-01-01,正常,低,免复核
TX5941993,ACC5457,42554.05,POS,2025-11-16,大额,中,待复核
TX1523828,ACC7326,15976.16,代扣,2025-10-29,正常,低,免复核
TX4318997,ACC4329,60884.73,网银,2025-11-18,高频,高,待复核
TX4132378,ACC6488,28914.74,代扣,2025-10-06,正常,低,免复核
TX6995922,ACC6930,2884.68,移动,2025-12-20,正常,低,免复核
TX7651348,ACC8567,22382.05,代扣,2025-10-25,正常,低,免复核
TX5524511,ACC3653,59196.26,POS,2025-12-04,大额,高,待复核
TX4948823,ACC6701,21888.04,移动,2025-11-17,正常,低,免复核
TX3536437,ACC6703,66495.83,网银,2025-12-27,高频,中,待复核
TX2233101,ACC3176,67699.33,代扣,2025-11-21,大额,高,待复核
TX4282483,ACC6103,79070.32,网银,2025-12-19,夜间,中,待复核
TX2382406,ACC4700,33995.46,网银,2025-10-30,异地,中,待复核
TX3120688,ACC9663,52274.13,网银,2025-12-08,夜间,中,待复核
TX8680231,ACC3731,14604.55,POS,2025-11-29,高频,中,待复核
TX5783875,ACC8994,55429.35,网银,2025-11-02,异地,高,待复核
TX6819653,ACC7128,23469.3,网银,2025-11-12,正常,低,免复核
TX1801405,ACC7569,68735.2,移动,2025-10-27,异地,中,待复核
TX8862071,ACC3022,51768.76,网银,2025-12-15,夜间,中,待复核
TX6770843,ACC7045,19817.44,代扣,2025-11-02,正常,低,免复核
TX6715280,ACC6760,23637.87,POS,2025-12-16,正常,低,免复核
TX7860841,ACC3678,49079.06,POS,2025-10-30,大额,高,待复核
TX5598703,ACC7643,60758,移动,2025-11-12,高频,高,待复核
TX7092777,ACC2177,27076.48,网银,2025-12-07,正常,低,免复核
TX3744588,ACC2688,43924.98,代扣,2025-10-13,大额,高,待复核
TX4737398,ACC5074,14080.34,移动,2025-10-25,正常,低,免复核
TX6179231,ACC8598,20659.88,网银,2025-10-11,正常,低,免复核
TX1867582,ACC1070,40546.62,代扣,2025-10-27,异地,中,待复核
TX7836997,ACC1142,44494.5,移动,2025-11-03,夜间,中,待复核
TX1062774,ACC8680,30128.57,移动,2025-10-15,大额,高,待复核
TX5723985,ACC4679,14530.72,网银,2025-10-04,正常,低,免复核
TX6426133,ACC4681,9548.14,POS,2025-12-09,正常,低,免复核
TX6215459,ACC4733,19174.28,移动,2025-11-03,正常,低,免复核
TX8739193,ACC1491,3682.56,网银,2025-12-17,正常,低,免复核
TX5760634,ACC4687,68446.93,POS,2025-11-16,大额,高,待复核
TX1342761,ACC2114,62309.08,POS,2025-12-06,大额,高,待复核
TX2226997,ACC8683,17043.35,网银,2025-10-03,正常,低,免复核
TX5658829,ACC2662,65534.88,移动,2025-10-17,夜间,高,待复核
TX5408742,ACC9608,22740.93,POS,2025-12-12,正常,低,免复核
TX1045758,ACC4848,5075.51,代扣,2025-11-23,正常,低,免复核
TX6545666,ACC4381,29550.15,网银,2025-12-03,正常,低,免复核
TX5591229,ACC4746,68264.47,POS,2025-11-24,大额,中,待复核
TX3448338,ACC8954,3509.21,代扣,2025-12-10,正常,低,免复核
TX8707277,ACC5282,43218.2,代扣,2025-11-11,异地,中,待复核
TX3446150,ACC7319,33696.73,代扣,2025-10-30,高频,高,待复核
TX8010464,ACC9215,51078.67,移动,2025-12-17,大额,中,待复核
TX8209213,ACC3235,58204.61,代扣,2025-11-16,大额,中,待复核
TX4477886,ACC6405,864.79,移动,2025-11-10,正常,低,免复核
TX5897788,ACC1777,6040.35,代扣,2025-10-04,正常,低,免复核
TX6203381,ACC9114,69166.09,POS,2025-11-02,大额,高,待复核
TX1174534,ACC7840,68872.61,代扣,2025-10-29,高频,中,待复核
TX5339321,ACC6904,67946.7,代扣,2025-11-17,异地,中,待复核
TX3159675,ACC9992,35608.15,网银,2025-11-26,异地,中,待复核
TX1421212,ACC1301,68092.91,POS,2025-10-17,异地,中,待复核
TX2838912,ACC7136,34372.31,网银,2025-10-03,夜间,中,待复核
TX3188811,ACC5086,49692.23,POS,2025-10-07,大额,高,待复核
TX6561060,ACC6996,31459.65,网银,2025-12-11,夜间,中,待复核
TX3270313,ACC4371,34350.51,移动,2025-12-31,异地,高,待复核
TX8234814,ACC3193,35734.4,网银,2025-10-05,大额,高,待复核
TX6764870,ACC4933,7175.34,代扣,2025-12-30,正常,低,免复核
TX2699015,ACC1792,22784.99,网银,2025-10-17,正常,低,免复核
TX7326411,ACC4887,29055.8,代扣,2025-11-16,正常,低,免复核
TX3163417,ACC9764,42527.78,POS,2025-11-14,高频,高,待复核
TX8548460,ACC8093,5487.5,网银,2025-10-05,正常,低,免复核
TX6684157,ACC4342,75046.27,代扣,2025-11-26,高频,高,待复核
TX7589771,ACC7537,70659.85,POS,2025-12-01,大额,高,待复核
TX2280492,ACC2404,44991.63,POS,2025-10-05,高频,高,待复核
TX3535213,ACC9165,58017.36,代扣,2025-11-07,夜间,中,待复核
TX3756356,ACC6280,54423.32,移动,2025-12-18,高频,高,待复核
TX5281386,ACC6726,16565.37,移动,2025-12-08,夜间,中,待复核
TX2393746,ACC2516,16036.51,移动,2025-12-25,正常,低,免复核
TX1472646,ACC3989,27250.29,代扣,2025-12-15,正常,低,免复核
TX6654068,ACC9158,10502.7,网银,2025-12-10,正常,低,免复核
TX6444563,ACC5508,12456.69,代扣,2025-12-18,正常,低,免复核
TX5134240,ACC4141,74432.85,POS,2025-10-25,异地,高,待复核
TX5324789,ACC8114,66519.57,移动,2025-12-11,夜间,中,待复核
TX4314255,ACC8551,65114.53,代扣,2025-10-24,高频,中,待复核
TX5529213,ACC8042,6315.9,代扣,2025-12-27,正常,低,免复核
TX5994753,ACC3612,53897.3,POS,2025-10-09,夜间,中,待复核
TX6556220,ACC3614,79337.83,网银,2025-11-12,异地,中,待复核
TX5857121,ACC5932,71925.08,POS,2025-10-06,高频,中,待复核
TX4654786,ACC1563,11892.77,网银,2025-12-05,正常,低,免复核
TX1718292,ACC8090,59037.58,网银,2025-10-06,夜间,中,待复核
TX3228252,ACC6614,47048.6,代扣,2025-11-01,高频,中,待复核
TX4092104,ACC1150,45718.44,移动,2025-12-17,大额,中,待复核
TX3760146,ACC1176,16656.36,POS,2025-12-16,正常,低,免复核
TX6747644,ACC5902,54742.22,代扣,2025-11-08,夜间,中,待复核
TX4745690,ACC5104,48711.94,POS,2025-10-13,高频,高,待复核
TX3644632,ACC8508,2717.31,移动,2025-12-13,正常,低,免复核
TX6385277,ACC4721,54834.77,移动,2025-12-06,大额,高,待复核
TX5069267,ACC7353,58989.66,POS,2025-10-12,大额,高,待复核
TX4893086,ACC3554,44859.12,POS,2025-12-15,大额,高,待复核
TX7339700,ACC3021,79652.28,POS,2025-12-07,夜间,高,待复核
TX3852601,ACC2409,10521.02,代扣,2025-12-29,正常,低,免复核
TX1696678,ACC9919,10743.58,移动,2025-10-25,正常,低,免复核
TX3596370,ACC4511,14411.54,代扣,2025-10-09,正常,低,免复核
TX1541004,ACC3948,36381.32,网银,2025-12-30,大额,高,待复核
TX4352629,ACC8122,41983.32,代扣,2025-10-08,高频,高,待复核
TX3565042,ACC5083,61782.38,网银,2025-11-12,异地,中,待复核
TX5256505,ACC1122,57548.98,移动,2025-12-18,夜间,高,待复核
TX6748380,ACC4452,70757.94,网银,2025-10-04,异地,中,待复核
TX3327957,ACC8032,20862.21,网银,2025-10-30,异地,高,待复核
TX5962384,ACC1036,56274.34,POS,2025-11-07,异地,中,待复核
TX7209773,ACC4398,29074.22,POS,2025-10-10,正常,低,免复核
TX1093876,ACC4198,51198.7,网银,2025-10-21,异地,高,待复核
TX1204851,ACC3907,24043.96,POS,2025-11-25,正常,低,免复核
TX4115218,ACC9100,19251.67,移动,2025-12-04,正常,低,免复核
TX8753437,ACC3443,24738.64,POS,2025-12-18,正常,低,免复核
TX3421508,ACC9496,72692.13,代扣,2025-10-22,大额,中,待复核
TX3079871,ACC7629,19553.97,代扣,2025-10-27,正常,低,免复核
TX7932010,ACC3094,31842.33,移动,2025-10-15,夜间,高,待复核
TX2113344,ACC8328,48151.59,网银,2025-12-09,夜间,中,待复核
TX6073446,ACC2490,28557.7,移动,2025-10-13,正常,低,免复核
TX5392980,ACC2584,38139.8,代扣,2025-10-15,夜间,高,待复核
TX8131373,ACC6576,71137.6,POS,2025-12-05,大额,中,待复核
TX2470738,ACC7485,33903.8,网银,2025-11-03,夜间,高,待复核
TX7567058,ACC8552,55373.32,移动,2025-10-15,夜间,中,待复核
TX1412045,ACC7290,4968.39,代扣,2025-11-22,正常,低,免复核
TX6114947,ACC8737,11236,移动,2025-11-04,正常,低,免复核
TX3647743,ACC9961,54554.27,POS,2025-11-23,夜间,中,待复核
TX7131794,ACC9132,76982.07,POS,2025-10-09,高频,高,待复核
TX7654630,ACC3488,72043.68,POS,2025-10-31,异地,中,待复核
TX1481421,ACC5335,74126.93,POS,2025-11-14,异地,中,待复核
TX2665285,ACC6274,57144.39,网银,2025-12-06,异地,中,待复核
TX8656558,ACC4386,1459.83,网银,2025-10-10,正常,低,免复核
TX4795588,ACC7884,54824.12,移动,2025-11-28,高频,中,待复核
TX1684561,ACC9842,68421.77,代扣,2025-12-13,夜间,中,待复核
TX1598946,ACC9960,21441.86,代扣,2025-12-21,高频,高,待复核
TX7246821,ACC4849,26431.78,POS,2025-10-17,夜间,中,待复核
TX6800680,ACC2764,40022.39,网银,2025-12-07,夜间,中,待复核
TX2030803,ACC6836,43692.47,POS,2025-11-24,夜间,高,待复核
TX4322832,ACC7187,16952.39,POS,2025-12-19,正常,低,免复核
TX6599799,ACC4586,27412.48,代扣,2025-12-15,正常,低,免复核
TX3321057,ACC9432,35142.46,代扣,2025-12-20,夜间,中,待复核
TX5135971,ACC3975,65899.52,POS,2025-11-15,异地,中,待复核
TX8200146,ACC6381,42550.47,POS,2025-11-16,夜间,中,待复核
TX1129439,ACC2137,67787.2,POS,2025-10-07,异地,中,待复核
TX8186885,ACC1150,19770.19,POS,2025-11-14,正常,低,免复核
TX1835876,ACC7041,31348.04,网银,2025-11-04,高频,高,待复核
TX7207818,ACC5112,1566,代扣,2025-10-21,高频,中,待复核
TX3337988,ACC7973,58763.51,POS,2025-10-06,大额,中,待复核
TX6095976,ACC7375,39219.91,网银,2025-10-29,夜间,中,待复核
TX3654784,ACC5295,64974.72,移动,2025-11-11,异地,高,待复核
TX7276982,ACC6026,58221.67,POS,2025-10-27,大额,高,待复核
TX7757565,ACC6698,12785.13,代扣,2025-12-27,正常,低,免复核
TX7374083,ACC5817,22186.23,POS,2025-11-05,夜间,中,待复核
TX3734094,ACC4633,24390.95,代扣,2025-10-12,高频,高,待复核
TX4624499,ACC3325,38521.54,移动,2025-10-12,大额,高,待复核
TX2679712,ACC4573,76720.03,移动,2025-11-14,大额,高,待复核
TX2204348,ACC6354,62355.2,代扣,2025-12-26,夜间,高,待复核
TX1702693,ACC4817,60902.55,移动,2025-11-23,异地,高,待复核
TX8773648,ACC3227,76703.07,移动,2025-11-14,大额,高,待复核
TX7541330,ACC5604,43688.69,网银,2025-12-06,大额,中,待复核
TX8881867,ACC4406,75163.53,网银,2025-10-29,高频,高,待复核
TX4294400,ACC9882,55218.79,代扣,2025-12-31,大额,高,待复核
TX4656513,ACC8288,3783.6,网银,2025-11-09,正常,低,免复核
TX7172294,ACC8557,26135.92,移动,2025-12-29,正常,低,免复核
TX8224480,ACC9427,57872.17,移动,2025-11-06,异地,中,待复核
TX6290126,ACC9125,10676.67,网银,2025-10-14,正常,低,免复核
TX7915873,ACC4479,3406.73,网银,2025-10-28,正常,低,免复核
TX4262485,ACC5601,40085.98,网银,2025-10-30,异地,中,待复核
TX5757712,ACC7150,7626.33,移动,2025-11-13,正常,低,免复核
TX7265004,ACC1323,76184.19,POS,2025-10-23,高频,中,待复核
TX1826389,ACC9557,48775.07,网银,2025-11-03,大额,中,待复核
