application_id,application_at,observation_cutoff,province_code,province_name,city_code,city_name,customer_segment,channel,requested_amount_fen,declared_income_band,identity_verification_status,income_evidence_status,consent_status,application_consistency,internal_repayment_months,recent_overdue_days,debt_service_ratio_bps,data_nature
CR20260000314,2026-04-11T13:58:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1894566,8000-11999,verified,complete,confirmed,consistent,,,3428,deterministic_synthetic
CR20260000315,2026-04-11T14:45:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1974485,12000+,verified,complete,confirmed,consistent,,,3429,deterministic_synthetic
CR20260000316,2026-04-11T15:32:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2054404,3000-4999,verified,complete,confirmed,consistent,,,3430,deterministic_synthetic
CR20260000317,2026-04-11T16:19:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2134323,5000-7999,verified,complete,confirmed,consistent,,,3431,deterministic_synthetic
CR20260000318,2026-04-11T17:06:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2214242,8000-11999,verified,complete,confirmed,consistent,,,3432,deterministic_synthetic
CR20260000319,2026-04-11T17:53:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2294161,12000+,verified,complete,confirmed,consistent,,,3433,deterministic_synthetic
CR20260000320,2026-04-11T18:40:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2374080,3000-4999,verified,complete,confirmed,consistent,,,3434,deterministic_synthetic
CR20260000321,2026-04-11T19:27:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2453999,5000-7999,verified,complete,confirmed,consistent,,,3435,deterministic_synthetic
CR20260000322,2026-04-11T20:14:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2533918,8000-11999,verified,complete,confirmed,consistent,,,3436,deterministic_synthetic
CR20260000323,2026-04-11T21:01:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2613837,12000+,verified,complete,confirmed,consistent,,,3437,deterministic_synthetic
CR20260000324,2026-04-11T21:48:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2693756,3000-4999,verified,complete,confirmed,consistent,,,3438,deterministic_synthetic
CR20260000325,2026-04-11T22:35:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2773675,5000-7999,verified,complete,confirmed,consistent,,,3439,deterministic_synthetic
CR20260000326,2026-04-11T23:22:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2853594,8000-11999,verified,complete,confirmed,consistent,,,3440,deterministic_synthetic
CR20260000327,2026-04-12T00:09:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2933513,12000+,verified,complete,confirmed,consistent,,,3441,deterministic_synthetic
CR20260000328,2026-04-12T00:56:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3013432,3000-4999,verified,complete,confirmed,consistent,,,3442,deterministic_synthetic
CR20260000329,2026-04-12T01:43:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3093351,5000-7999,verified,complete,confirmed,consistent,,,3443,deterministic_synthetic
CR20260000330,2026-04-12T02:30:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3173270,8000-11999,verified,complete,confirmed,consistent,,,3444,deterministic_synthetic
CR20260000331,2026-04-12T03:17:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3253189,12000+,verified,complete,confirmed,consistent,,,3445,deterministic_synthetic
CR20260000332,2026-04-12T04:04:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3333108,3000-4999,verified,complete,confirmed,consistent,,,3446,deterministic_synthetic
CR20260000333,2026-04-12T04:51:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3413027,5000-7999,verified,complete,confirmed,consistent,,,3447,deterministic_synthetic
CR20260000334,2026-04-12T05:38:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3492946,8000-11999,verified,complete,confirmed,consistent,,,3448,deterministic_synthetic
CR20260000335,2026-04-12T06:25:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3572865,12000+,verified,complete,confirmed,consistent,,,3449,deterministic_synthetic
CR20260000336,2026-04-12T07:12:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3652784,3000-4999,verified,complete,confirmed,consistent,,,3450,deterministic_synthetic
CR20260000337,2026-04-12T07:59:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3732703,5000-7999,verified,complete,confirmed,consistent,,,3451,deterministic_synthetic
CR20260000338,2026-04-12T08:46:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3812622,8000-11999,verified,complete,confirmed,consistent,,,3452,deterministic_synthetic
CR20260000339,2026-04-12T09:33:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3892541,12000+,verified,complete,confirmed,consistent,,,3453,deterministic_synthetic
CR20260000340,2026-04-12T10:20:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3972460,3000-4999,verified,complete,confirmed,consistent,,,3454,deterministic_synthetic
CR20260000341,2026-04-12T11:07:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4052379,5000-7999,verified,complete,confirmed,consistent,,,3455,deterministic_synthetic
CR20260000342,2026-04-12T11:54:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4132298,8000-11999,verified,complete,confirmed,consistent,,,3456,deterministic_synthetic
CR20260000343,2026-04-12T12:41:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4212217,12000+,verified,complete,confirmed,consistent,,,3457,deterministic_synthetic
CR20260000344,2026-04-12T13:28:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4292136,3000-4999,verified,complete,confirmed,consistent,,,3458,deterministic_synthetic
CR20260000345,2026-04-12T14:15:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4372055,5000-7999,verified,complete,confirmed,consistent,,,3459,deterministic_synthetic
CR20260000346,2026-04-12T15:02:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4451974,8000-11999,verified,complete,confirmed,consistent,,,3460,deterministic_synthetic
CR20260000347,2026-04-12T15:49:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4531893,12000+,verified,complete,confirmed,consistent,,,3461,deterministic_synthetic
CR20260000348,2026-04-12T16:36:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4611812,3000-4999,verified,complete,confirmed,consistent,,,3462,deterministic_synthetic
CR20260000349,2026-04-12T17:23:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4691731,5000-7999,verified,complete,confirmed,consistent,,,3463,deterministic_synthetic
CR20260000350,2026-04-12T18:10:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4771650,8000-11999,verified,complete,confirmed,consistent,,,3464,deterministic_synthetic
CR20260000351,2026-04-12T18:57:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4851569,12000+,verified,complete,confirmed,consistent,,,3465,deterministic_synthetic
CR20260000352,2026-04-12T19:44:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4931488,3000-4999,verified,complete,confirmed,consistent,,,3466,deterministic_synthetic
CR20260000353,2026-04-12T20:31:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,311407,5000-7999,verified,complete,confirmed,consistent,,,3467,deterministic_synthetic
CR20260000354,2026-04-12T21:18:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,391326,8000-11999,verified,complete,confirmed,consistent,,,3468,deterministic_synthetic
CR20260000355,2026-04-12T22:05:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,471245,12000+,verified,complete,confirmed,consistent,,,3469,deterministic_synthetic
CR20260000356,2026-04-12T22:52:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,551164,3000-4999,verified,complete,confirmed,consistent,,,3470,deterministic_synthetic
CR20260000357,2026-04-12T23:39:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,631083,5000-7999,verified,complete,confirmed,consistent,,,3471,deterministic_synthetic
CR20260000358,2026-04-13T00:26:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,711002,8000-11999,verified,complete,confirmed,consistent,,,3472,deterministic_synthetic
CR20260000359,2026-04-13T01:13:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,790921,12000+,verified,complete,confirmed,consistent,,,3473,deterministic_synthetic
CR20260000360,2026-04-13T02:00:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,870840,3000-4999,verified,complete,confirmed,consistent,,,3474,deterministic_synthetic
CR20260000361,2026-04-13T02:47:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,950759,5000-7999,verified,complete,confirmed,consistent,,,3475,deterministic_synthetic
CR20260000362,2026-04-13T03:34:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1030678,8000-11999,verified,complete,confirmed,consistent,,,3476,deterministic_synthetic
CR20260000363,2026-04-13T04:21:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1110597,12000+,verified,complete,confirmed,consistent,,,3477,deterministic_synthetic
CR20260000364,2026-04-13T05:08:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1190516,3000-4999,verified,complete,confirmed,consistent,,,3478,deterministic_synthetic
CR20260000365,2026-04-13T05:55:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1270435,5000-7999,verified,complete,confirmed,consistent,,,3479,deterministic_synthetic
CR20260000366,2026-04-13T06:42:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1350354,8000-11999,verified,complete,confirmed,consistent,,,3480,deterministic_synthetic
CR20260000367,2026-04-13T07:29:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1430273,12000+,verified,complete,confirmed,consistent,,,3481,deterministic_synthetic
CR20260000368,2026-04-13T08:16:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1510192,3000-4999,verified,complete,confirmed,consistent,,,3482,deterministic_synthetic
CR20260000369,2026-04-13T09:03:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1590111,5000-7999,verified,complete,confirmed,consistent,,,3483,deterministic_synthetic
CR20260000370,2026-04-13T09:50:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1670030,8000-11999,verified,complete,confirmed,consistent,,,3484,deterministic_synthetic
CR20260000371,2026-04-13T10:37:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1749949,12000+,verified,complete,confirmed,consistent,,,3485,deterministic_synthetic
CR20260000372,2026-04-13T11:24:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1829868,3000-4999,verified,complete,confirmed,consistent,,,3486,deterministic_synthetic
CR20260000373,2026-04-13T12:11:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1909787,5000-7999,verified,complete,confirmed,consistent,,,3487,deterministic_synthetic
CR20260000374,2026-04-13T12:58:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1989706,8000-11999,verified,complete,confirmed,consistent,,,3488,deterministic_synthetic
CR20260000375,2026-04-13T13:45:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2069625,12000+,verified,complete,confirmed,consistent,,,3489,deterministic_synthetic
CR20260000376,2026-04-13T14:32:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2149544,3000-4999,verified,complete,confirmed,consistent,,,3490,deterministic_synthetic
CR20260000377,2026-04-13T15:19:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2229463,5000-7999,verified,complete,confirmed,consistent,,,3491,deterministic_synthetic
CR20260000378,2026-04-13T16:06:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2309382,8000-11999,verified,complete,confirmed,consistent,,,3492,deterministic_synthetic
CR20260000379,2026-04-13T16:53:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2389301,12000+,verified,complete,confirmed,consistent,,,3493,deterministic_synthetic
CR20260000380,2026-04-13T17:40:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2469220,3000-4999,verified,complete,confirmed,consistent,,,3494,deterministic_synthetic
CR20260000381,2026-04-13T18:27:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2549139,5000-7999,verified,complete,confirmed,consistent,,,3495,deterministic_synthetic
CR20260000382,2026-04-13T19:14:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2629058,8000-11999,verified,complete,confirmed,consistent,,,3496,deterministic_synthetic
CR20260000383,2026-04-13T20:01:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2708977,12000+,verified,complete,confirmed,consistent,,,3497,deterministic_synthetic
CR20260000384,2026-04-13T20:48:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2788896,3000-4999,verified,complete,confirmed,consistent,,,3498,deterministic_synthetic
CR20260000385,2026-04-13T21:35:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2868815,5000-7999,verified,complete,confirmed,consistent,,,3499,deterministic_synthetic
CR20260000386,2026-04-13T22:22:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2948734,8000-11999,verified,complete,confirmed,consistent,,,3500,deterministic_synthetic
CR20260000387,2026-04-13T23:09:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3028653,12000+,verified,complete,confirmed,consistent,,,3501,deterministic_synthetic
CR20260000388,2026-04-13T23:56:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3108572,3000-4999,verified,complete,confirmed,consistent,,,3502,deterministic_synthetic
CR20260000389,2026-04-14T00:43:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3188491,5000-7999,verified,complete,confirmed,consistent,,,3503,deterministic_synthetic
CR20260000390,2026-04-14T01:30:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3268410,8000-11999,verified,complete,confirmed,consistent,,,3504,deterministic_synthetic
CR20260000391,2026-04-14T02:17:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3348329,12000+,verified,complete,confirmed,consistent,,,3505,deterministic_synthetic
CR20260000392,2026-04-14T03:04:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3428248,3000-4999,verified,complete,confirmed,consistent,,,3506,deterministic_synthetic
CR20260000393,2026-04-14T03:51:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3508167,5000-7999,verified,complete,confirmed,consistent,,,3507,deterministic_synthetic
CR20260000394,2026-04-14T04:38:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3588086,8000-11999,verified,complete,confirmed,consistent,,,3508,deterministic_synthetic
CR20260000395,2026-04-14T05:25:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3668005,12000+,verified,complete,confirmed,consistent,,,3509,deterministic_synthetic
CR20260000396,2026-04-14T06:12:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3747924,3000-4999,verified,complete,confirmed,consistent,,,3510,deterministic_synthetic
CR20260000397,2026-04-14T06:59:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3827843,5000-7999,verified,complete,confirmed,consistent,,,3511,deterministic_synthetic
CR20260000398,2026-04-14T07:46:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3907762,8000-11999,verified,complete,confirmed,consistent,,,3512,deterministic_synthetic
CR20260000399,2026-04-14T08:33:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3987681,12000+,verified,complete,confirmed,consistent,,,3513,deterministic_synthetic
CR20260000400,2026-04-14T09:20:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4067600,3000-4999,verified,complete,confirmed,consistent,,,3514,deterministic_synthetic
CR20260000401,2026-04-14T10:07:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4147519,5000-7999,verified,complete,confirmed,consistent,,,3515,deterministic_synthetic
CR20260000402,2026-04-14T10:54:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4227438,8000-11999,verified,complete,confirmed,consistent,,,3516,deterministic_synthetic
CR20260000403,2026-04-14T11:41:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4307357,12000+,verified,complete,confirmed,consistent,,,3517,deterministic_synthetic
CR20260000404,2026-04-14T12:28:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4387276,3000-4999,verified,complete,confirmed,consistent,,,3518,deterministic_synthetic
CR20260000405,2026-04-14T13:15:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4467195,5000-7999,verified,complete,confirmed,consistent,,,3519,deterministic_synthetic
CR20260000406,2026-04-14T14:02:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,4547114,8000-11999,verified,complete,confirmed,consistent,,,3520,deterministic_synthetic
CR20260000407,2026-04-14T14:49:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,4627033,12000+,verified,complete,confirmed,consistent,,,3521,deterministic_synthetic
CR20260000408,2026-04-14T15:36:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,4706952,3000-4999,verified,complete,confirmed,consistent,,,3522,deterministic_synthetic
CR20260000409,2026-04-14T16:23:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,4786871,5000-7999,verified,complete,confirmed,consistent,,,3523,deterministic_synthetic
CR20260000410,2026-04-14T17:10:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,4866790,8000-11999,verified,complete,confirmed,consistent,,,3524,deterministic_synthetic
CR20260000411,2026-04-14T17:57:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,4946709,12000+,verified,complete,confirmed,consistent,,,3525,deterministic_synthetic
CR20260000412,2026-04-14T18:44:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,326628,3000-4999,verified,complete,confirmed,consistent,,,3526,deterministic_synthetic
CR20260000413,2026-04-14T19:31:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,406547,5000-7999,verified,complete,confirmed,consistent,,,3527,deterministic_synthetic
CR20260000414,2026-04-14T20:18:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,486466,8000-11999,verified,complete,confirmed,consistent,,,3528,deterministic_synthetic
CR20260000415,2026-04-14T21:05:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,566385,12000+,verified,complete,confirmed,consistent,,,3529,deterministic_synthetic
CR20260000416,2026-04-14T21:52:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,646304,3000-4999,verified,complete,confirmed,consistent,,,3530,deterministic_synthetic
CR20260000417,2026-04-14T22:39:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,726223,5000-7999,verified,complete,confirmed,consistent,,,3531,deterministic_synthetic
CR20260000418,2026-04-14T23:26:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,806142,8000-11999,verified,complete,confirmed,consistent,,,3532,deterministic_synthetic
CR20260000419,2026-04-15T00:13:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,886061,12000+,verified,complete,confirmed,consistent,,,3533,deterministic_synthetic
CR20260000420,2026-04-15T01:00:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,965980,3000-4999,verified,complete,confirmed,consistent,,,3534,deterministic_synthetic
CR20260000421,2026-04-15T01:47:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1045899,5000-7999,verified,complete,confirmed,consistent,,,3535,deterministic_synthetic
CR20260000422,2026-04-15T02:34:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1125818,8000-11999,verified,complete,confirmed,consistent,,,3536,deterministic_synthetic
CR20260000423,2026-04-15T03:21:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1205737,12000+,verified,complete,confirmed,consistent,,,3537,deterministic_synthetic
CR20260000424,2026-04-15T04:08:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1285656,3000-4999,verified,complete,confirmed,consistent,,,3538,deterministic_synthetic
CR20260000425,2026-04-15T04:55:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1365575,5000-7999,verified,complete,confirmed,consistent,,,3539,deterministic_synthetic
CR20260000426,2026-04-15T05:42:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1445494,8000-11999,verified,complete,confirmed,consistent,,,3540,deterministic_synthetic
CR20260000427,2026-04-15T06:29:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1525413,12000+,verified,complete,confirmed,consistent,,,3541,deterministic_synthetic
CR20260000428,2026-04-15T07:16:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1605332,3000-4999,verified,complete,confirmed,consistent,,,3542,deterministic_synthetic
CR20260000429,2026-04-15T08:03:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1685251,5000-7999,verified,complete,confirmed,consistent,,,3543,deterministic_synthetic
CR20260000430,2026-04-15T08:50:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1765170,8000-11999,verified,complete,confirmed,consistent,,,3544,deterministic_synthetic
CR20260000431,2026-04-15T09:37:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1845089,12000+,verified,complete,confirmed,consistent,,,3545,deterministic_synthetic
CR20260000432,2026-04-15T10:24:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1925008,3000-4999,verified,complete,confirmed,consistent,,,3546,deterministic_synthetic
CR20260000433,2026-04-15T11:11:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2004927,5000-7999,verified,complete,confirmed,consistent,,,3547,deterministic_synthetic
CR20260000434,2026-04-15T11:58:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2084846,8000-11999,verified,complete,confirmed,consistent,,,3548,deterministic_synthetic
CR20260000435,2026-04-15T12:45:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2164765,12000+,verified,complete,confirmed,consistent,,,3549,deterministic_synthetic
CR20260000436,2026-04-15T13:32:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2244684,3000-4999,verified,complete,confirmed,consistent,,,3550,deterministic_synthetic
CR20260000437,2026-04-15T14:19:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2324603,5000-7999,verified,complete,confirmed,consistent,,,3551,deterministic_synthetic
CR20260000438,2026-04-15T15:06:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2404522,8000-11999,verified,complete,confirmed,consistent,,,3552,deterministic_synthetic
CR20260000439,2026-04-15T15:53:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2484441,12000+,verified,complete,confirmed,consistent,,,3553,deterministic_synthetic
CR20260000440,2026-04-15T16:40:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2564360,3000-4999,verified,complete,confirmed,consistent,,,3554,deterministic_synthetic
CR20260000441,2026-04-15T17:27:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2644279,5000-7999,verified,complete,confirmed,consistent,,,3555,deterministic_synthetic
CR20260000442,2026-04-15T18:14:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2724198,8000-11999,verified,complete,confirmed,consistent,,,3556,deterministic_synthetic
CR20260000443,2026-04-15T19:01:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2804117,12000+,verified,complete,confirmed,consistent,,,3557,deterministic_synthetic
CR20260000444,2026-04-15T19:48:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2884036,3000-4999,verified,complete,confirmed,consistent,,,3558,deterministic_synthetic
CR20260000445,2026-04-15T20:35:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2963955,5000-7999,verified,complete,confirmed,consistent,,,3559,deterministic_synthetic
CR20260000446,2026-04-15T21:22:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3043874,8000-11999,verified,complete,confirmed,consistent,,,3560,deterministic_synthetic
