No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,observed_at,missing_pollutant_count,data_nature
32661,2016,11,20,20,17.0,17.0,2.0,28.0,600.0,31.0,1.8,1022.4,0.8,0.1,NE,2.6,Aotizhongxin,2016-11-20 20:00:00,0,public-derived
32681,2016,11,21,16,17.0,31.0,6.0,14.0,500.0,66.0,-0.7,1028.6,-15.0,0.0,NW,4.3,Aotizhongxin,2016-11-21 16:00:00,0,public-derived
32701,2016,11,22,12,6.0,11.0,5.0,8.0,300.0,66.0,-2.6,1035.4,-18.6,0.0,NW,4.3,Aotizhongxin,2016-11-22 12:00:00,0,public-derived
32721,2016,11,23,8,15.0,41.0,12.0,46.0,700.0,16.0,-5.2,1033.7,-14.3,0.0,ENE,1.1,Aotizhongxin,2016-11-23 08:00:00,0,public-derived
32741,2016,11,24,4,20.0,34.0,8.0,62.0,700.0,2.0,-1.6,1027.6,-16.2,0.0,N,2.0,Aotizhongxin,2016-11-24 04:00:00,0,public-derived
32761,2016,11,25,0,214.0,279.0,51.0,137.0,5000.0,9.0,-1.2,1022.3,-8.2,0.0,NE,1.2,Aotizhongxin,2016-11-25 00:00:00,0,public-derived
32781,2016,11,25,20,278.0,295.0,27.0,123.0,2900.0,2.0,1.6,1020.1,-3.5,0.0,S,1.0,Aotizhongxin,2016-11-25 20:00:00,0,public-derived
32801,2016,11,26,16,191.0,314.0,23.0,105.0,1900.0,19.0,6.4,1014.6,-5.9,0.0,SW,0.7,Aotizhongxin,2016-11-26 16:00:00,0,public-derived
32821,2016,11,27,12,13.0,20.0,4.0,13.0,400.0,69.0,6.7,1025.0,-14.7,0.0,NNW,2.8,Aotizhongxin,2016-11-27 12:00:00,0,public-derived
32841,2016,11,28,8,29.0,29.0,16.0,66.0,1300.0,2.0,-3.7,1028.8,-7.8,0.0,ENE,1.0,Aotizhongxin,2016-11-28 08:00:00,0,public-derived
32861,2016,11,29,4,106.0,137.0,29.0,112.0,3400.0,2.0,-1.3,1030.0,-7.7,0.0,NNE,0.7,Aotizhongxin,2016-11-29 04:00:00,0,public-derived
32881,2016,11,30,0,143.0,178.0,28.0,97.0,3700.0,2.0,2.0,1024.8,-2.0,0.0,NE,1.0,Aotizhongxin,2016-11-30 00:00:00,0,public-derived
32901,2016,11,30,20,10.0,15.0,3.0,25.0,300.0,67.0,8.2,1021.8,-9.7,0.0,NW,2.6,Aotizhongxin,2016-11-30 20:00:00,0,public-derived
32921,2016,12,1,16,7.0,12.0,3.0,18.0,300.0,69.0,10.0,1028.6,-13.3,0.0,NNW,1.3,Aotizhongxin,2016-12-01 16:00:00,0,public-derived
32941,2016,12,2,12,43.0,50.0,19.0,57.0,1100.0,24.0,7.8,1025.5,-7.9,0.0,ENE,0.7,Aotizhongxin,2016-12-02 12:00:00,0,public-derived
32961,2016,12,3,8,88.0,88.0,12.0,77.0,2700.0,2.0,-0.8,1019.2,-5.0,0.0,ENE,0.8,Aotizhongxin,2016-12-03 08:00:00,0,public-derived
32981,2016,12,4,4,510.0,513.0,8.0,160.0,7200.0,2.0,-0.9,1012.5,-1.7,0.0,NW,0.0,Aotizhongxin,2016-12-04 04:00:00,0,public-derived
33001,2016,12,5,0,160.0,160.0,8.0,79.0,2100.0,6.0,1.7,1016.5,-1.6,0.0,SSW,1.0,Aotizhongxin,2016-12-05 00:00:00,0,public-derived
33021,2016,12,5,20,16.0,16.0,5.0,65.0,600.0,17.0,-1.2,1027.1,-14.4,0.0,ENE,1.6,Aotizhongxin,2016-12-05 20:00:00,0,public-derived
33041,2016,12,6,16,112.0,152.0,23.0,124.0,2000.0,8.0,5.8,1014.0,-11.3,0.0,S,0.9,Aotizhongxin,2016-12-06 16:00:00,0,public-derived
33061,2016,12,7,12,149.0,153.0,42.0,97.0,2400.0,13.0,6.7,1021.3,-4.7,0.0,E,1.6,Aotizhongxin,2016-12-07 12:00:00,0,public-derived
33081,2016,12,8,8,179.0,209.0,8.0,89.0,3900.0,2.0,-0.6,1011.7,-2.0,0.0,ENE,0.5,Aotizhongxin,2016-12-08 08:00:00,0,public-derived
33101,2016,12,9,4,9.0,9.0,4.0,20.0,400.0,53.0,0.1,1023.4,-12.9,0.0,NNE,1.6,Aotizhongxin,2016-12-09 04:00:00,0,public-derived
33121,2016,12,10,0,62.0,79.0,10.0,81.0,1900.0,2.0,-3.6,1026.1,-8.7,0.0,NE,1.2,Aotizhongxin,2016-12-10 00:00:00,0,public-derived
33141,2016,12,10,20,56.0,88.0,13.0,89.0,1800.0,2.0,-1.1,1024.8,-8.8,0.0,SW,0.0,Aotizhongxin,2016-12-10 20:00:00,0,public-derived
33161,2016,12,11,16,224.0,242.0,41.0,133.0,3200.0,2.0,3.9,1017.1,-4.6,0.0,S,1.9,Aotizhongxin,2016-12-11 16:00:00,0,public-derived
33181,2016,12,12,12,257.0,261.0,56.0,124.0,3500.0,5.0,4.3,1019.8,-3.7,0.0,NE,2.0,Aotizhongxin,2016-12-12 12:00:00,0,public-derived
33201,2016,12,13,8,3.0,6.0,4.0,40.0,400.0,40.0,1.7,1027.1,-14.1,0.0,ENE,2.4,Aotizhongxin,2016-12-13 08:00:00,0,public-derived
33221,2016,12,14,4,7.0,7.0,4.0,30.0,300.0,58.0,-3.9,1031.7,-18.2,0.0,NE,1.4,Aotizhongxin,2016-12-14 04:00:00,0,public-derived
33241,2016,12,15,0,73.0,96.0,23.0,85.0,1500.0,2.0,-1.4,1025.9,-12.7,0.0,WSW,1.0,Aotizhongxin,2016-12-15 00:00:00,0,public-derived
33261,2016,12,15,20,25.0,57.0,22.0,63.0,900.0,20.0,-0.6,1029.8,-15.7,0.0,SSE,0.6,Aotizhongxin,2016-12-15 20:00:00,0,public-derived
33281,2016,12,16,16,187.0,201.0,27.0,137.0,2400.0,11.0,6.4,1018.3,-8.7,0.0,SSE,1.5,Aotizhongxin,2016-12-16 16:00:00,0,public-derived
33301,2016,12,17,12,194.0,215.0,50.0,105.0,2800.0,11.0,3.8,1018.2,-6.8,0.0,E,1.3,Aotizhongxin,2016-12-17 12:00:00,0,public-derived
33321,2016,12,18,8,191.0,191.0,12.0,84.0,3000.0,2.0,-3.4,1020.7,-6.0,0.0,ESE,0.6,Aotizhongxin,2016-12-18 08:00:00,0,public-derived
33341,2016,12,19,4,284.0,284.0,23.0,119.0,6200.0,5.0,-3.5,1020.3,-5.8,0.0,NE,0.0,Aotizhongxin,2016-12-19 04:00:00,0,public-derived
33361,2016,12,20,0,247.0,247.0,12.0,154.0,6000.0,3.0,-3.6,1023.7,-4.9,0.0,ENE,1.1,Aotizhongxin,2016-12-20 00:00:00,0,public-derived
33381,2016,12,20,20,373.0,373.0,6.0,154.0,8400.0,3.0,-0.7,1025.4,-2.6,0.0,E,1.2,Aotizhongxin,2016-12-20 20:00:00,0,public-derived
33401,2016,12,21,16,359.0,359.0,12.0,163.0,5900.0,12.0,3.8,1019.7,-2.6,0.0,E,0.9,Aotizhongxin,2016-12-21 16:00:00,0,public-derived
33421,2016,12,22,12,14.0,14.0,8.0,13.0,400.0,64.0,4.4,1019.1,-12.6,0.0,NW,4.2,Aotizhongxin,2016-12-22 12:00:00,0,public-derived
33441,2016,12,23,8,17.0,17.0,6.0,54.0,600.0,17.0,-4.5,1027.6,-14.9,0.0,NNE,1.1,Aotizhongxin,2016-12-23 08:00:00,0,public-derived
33461,2016,12,24,4,139.0,182.0,31.0,114.0,4300.0,53.0,-1.9,1026.4,-10.0,0.0,SSE,1.0,Aotizhongxin,2016-12-24 04:00:00,0,public-derived
33481,2016,12,25,0,192.0,216.0,42.0,131.0,4000.0,3.0,-3.5,1026.4,-7.8,0.0,NE,1.0,Aotizhongxin,2016-12-25 00:00:00,0,public-derived
33501,2016,12,25,20,157.0,168.0,34.0,113.0,2900.0,2.0,-0.5,1024.4,-4.9,0.0,NE,0.8,Aotizhongxin,2016-12-25 20:00:00,0,public-derived
33521,2016,12,26,16,12.0,12.0,5.0,29.0,400.0,51.0,3.3,1027.2,-17.6,0.0,NE,1.8,Aotizhongxin,2016-12-26 16:00:00,0,public-derived
33541,2016,12,27,12,7.0,22.0,5.0,11.0,300.0,61.0,1.5,1032.3,-16.4,0.0,N,2.7,Aotizhongxin,2016-12-27 12:00:00,0,public-derived
33561,2016,12,28,8,114.0,114.0,10.0,78.0,2100.0,2.0,-4.7,1027.3,-8.0,0.0,NNW,0.5,Aotizhongxin,2016-12-28 08:00:00,0,public-derived
33581,2016,12,29,4,8.0,8.0,10.0,36.0,400.0,65.0,-4.4,1032.7,-19.0,0.0,E,0.9,Aotizhongxin,2016-12-29 04:00:00,0,public-derived
33601,2016,12,30,0,334.0,404.0,20.0,115.0,3300.0,2.0,-2.1,1028.5,-6.5,0.0,W,1.2,Aotizhongxin,2016-12-30 00:00:00,0,public-derived
33621,2016,12,30,20,346.0,368.0,14.0,133.0,3600.0,2.0,-2.9,1023.8,-6.9,0.0,SSE,0.8,Aotizhongxin,2016-12-30 20:00:00,0,public-derived
33641,2016,12,31,16,380.0,391.0,26.0,211.0,5300.0,5.0,2.8,1021.5,-6.6,0.0,SSE,0.7,Aotizhongxin,2016-12-31 16:00:00,0,public-derived
33661,2017,1,1,12,381.0,381.0,11.0,151.0,5100.0,7.0,0.7,1020.9,-4.0,0.0,SSW,0.9,Aotizhongxin,2017-01-01 12:00:00,0,public-derived
33681,2017,1,2,8,21.0,21.0,16.0,40.0,700.0,42.0,-3.4,1022.4,-9.0,0.0,NW,1.7,Aotizhongxin,2017-01-02 08:00:00,0,public-derived
33701,2017,1,3,4,287.0,287.0,15.0,149.0,6300.0,59.0,-5.3,1019.3,-7.4,0.0,ENE,0.7,Aotizhongxin,2017-01-03 04:00:00,0,public-derived
33721,2017,1,4,0,440.0,493.0,10.0,188.0,8900.0,2.0,-2.9,1020.7,-4.2,0.0,SW,0.1,Aotizhongxin,2017-01-04 00:00:00,0,public-derived
33741,2017,1,4,20,346.0,346.0,18.0,186.0,8000.0,2.0,-0.6,1023.2,-3.5,0.0,E,1.4,Aotizhongxin,2017-01-04 20:00:00,0,public-derived
33761,2017,1,5,16,162.0,162.0,20.0,96.0,3800.0,13.0,3.4,1026.3,-4.1,0.0,NE,0.7,Aotizhongxin,2017-01-05 16:00:00,0,public-derived
33781,2017,1,6,12,193.0,193.0,29.0,92.0,400.0,16.0,3.5,1023.4,-3.3,0.0,ENE,2.0,Aotizhongxin,2017-01-06 12:00:00,0,public-derived
33801,2017,1,7,8,166.0,166.0,17.0,82.0,3400.0,2.0,1.5,1020.1,-3.2,0.0,NE,0.9,Aotizhongxin,2017-01-07 08:00:00,0,public-derived
33821,2017,1,8,4,19.0,19.0,11.0,33.0,400.0,29.0,1.6,1019.2,-10.6,0.0,NNW,2.3,Aotizhongxin,2017-01-08 04:00:00,0,public-derived
33841,2017,1,9,0,10.0,10.0,6.0,33.0,300.0,50.0,2.4,1021.4,-12.7,0.0,NNW,4.3,Aotizhongxin,2017-01-09 00:00:00,0,public-derived
33861,2017,1,9,20,87.0,114.0,5.0,78.0,1300.0,17.0,-0.375,1020.0,-9.5,0.0,SW,3.8,Aotizhongxin,2017-01-09 20:00:00,0,public-derived
33881,2017,1,10,16,5.0,6.0,4.0,,300.0,65.0,4.05,1024.0,-16.1,0.0,SW,3.4,Aotizhongxin,2017-01-10 16:00:00,1,public-derived
33901,2017,1,11,12,3.0,6.0,20.0,81.0,1800.0,22.0,2.575,1021.75,-10.8,0.0,SE,0.7,Aotizhongxin,2017-01-11 12:00:00,0,public-derived
33921,2017,1,12,8,16.0,44.0,16.0,63.0,600.0,35.0,-1.1,1019.0,-12.7,0.0,NE,1.3,Aotizhongxin,2017-01-12 08:00:00,0,public-derived
33941,2017,1,13,4,8.0,14.0,17.0,13.0,200.0,80.0,-0.875,1019.0,-18.4,0.0,NE,1.3,Aotizhongxin,2017-01-13 04:00:00,0,public-derived
33961,2017,1,14,0,17.0,37.0,20.0,48.0,100.0,45.0,-1.55,1026.0,-22.7,0.0,SE,0.6,Aotizhongxin,2017-01-14 00:00:00,0,public-derived
33981,2017,1,14,20,41.0,66.0,37.0,93.0,1900.0,22.0,-0.575,1030.0,-18.6,0.0,SE,2.3,Aotizhongxin,2017-01-14 20:00:00,0,public-derived
34001,2017,1,15,16,57.0,72.0,11.0,48.0,700.0,61.0,-0.8,1026.25,-9.2,0.0,SW,1.9,Aotizhongxin,2017-01-15 16:00:00,0,public-derived
34021,2017,1,16,12,72.0,72.0,31.0,66.0,1000.0,32.0,-0.933333333333333,1029.0,-7.2,0.0,NE,1.4,Aotizhongxin,2017-01-16 12:00:00,0,public-derived
34041,2017,1,17,8,138.0,148.0,25.0,85.0,2600.0,30.0,-1.9,1026.5,-5.5,0.0,NE,1.2,Aotizhongxin,2017-01-17 08:00:00,0,public-derived
34061,2017,1,18,4,44.0,44.0,17.0,57.0,,,-5.325,1031.0,-12.0,0.0,NE,2.1,Aotizhongxin,2017-01-18 04:00:00,2,public-derived
34081,2017,1,19,0,64.0,79.0,17.0,90.0,1100.0,9.0,-2.9,1026.5,-12.1,0.0,SW,1.2,Aotizhongxin,2017-01-19 00:00:00,0,public-derived
34101,2017,1,19,20,11.0,33.0,6.0,17.0,400.0,70.0,-5.56,1031.6,-25.0,0.0,NW,4.4,Aotizhongxin,2017-01-19 20:00:00,0,public-derived
34121,2017,1,20,16,26.0,54.0,10.0,40.0,700.0,63.0,-0.45,1027.5,-22.4,0.0,SW,3.4,Aotizhongxin,2017-01-20 16:00:00,0,public-derived
34141,2017,1,21,12,11.0,38.0,4.0,7.0,300.0,81.0,-0.633333333333333,1027.0,-23.2,0.0,NW,5.2,Aotizhongxin,2017-01-21 12:00:00,0,public-derived
34161,2017,1,22,8,11.0,24.0,8.0,64.0,800.0,11.0,-7.825,1032.75,-20.6,0.0,NE,1.6,Aotizhongxin,2017-01-22 08:00:00,0,public-derived
34181,2017,1,23,4,15.0,15.0,10.0,29.0,700.0,65.0,-9.2,1032.0,-18.1,0.0,NE,1.3,Aotizhongxin,2017-01-23 04:00:00,0,public-derived
34201,2017,1,24,0,97.0,116.0,66.0,108.0,300.0,18.0,-6.96666666666667,1032.33333333333,-14.5,0.0,NE,0.8,Aotizhongxin,2017-01-24 00:00:00,0,public-derived
34221,2017,1,24,20,134.0,137.0,38.0,121.0,2600.0,49.0,-1.075,1032.0,-13.1,0.0,SW,1.0,Aotizhongxin,2017-01-24 20:00:00,0,public-derived
34241,2017,1,25,16,162.0,162.0,46.0,112.0,2800.0,50.0,2.66666666666667,1025.0,-9.2,0.0,SE,1.7,Aotizhongxin,2017-01-25 16:00:00,0,public-derived
34261,2017,1,26,12,259.0,259.0,71.0,108.0,4000.0,57.0,-0.0666666666666667,1016.0,-7.0,0.0,NE,1.5,Aotizhongxin,2017-01-26 12:00:00,0,public-derived
34281,2017,1,27,8,11.0,11.0,13.0,25.0,500.0,53.0,-5.65,1029.0,-14.1,0.0,SW,1.2,Aotizhongxin,2017-01-27 08:00:00,0,public-derived
34301,2017,1,28,4,682.0,815.0,159.0,93.0,300.0,103.0,-3.5,1019.0,-13.5,0.0,NE,1.8,Aotizhongxin,2017-01-28 04:00:00,0,public-derived
34321,2017,1,29,0,297.0,312.0,100.0,104.0,4200.0,42.0,-3.525,1018.0,-6.5,0.0,NE,1.2,Aotizhongxin,2017-01-29 00:00:00,0,public-derived
34341,2017,1,29,20,8.0,10.0,3.0,8.0,200.0,79.0,-1.9,1030.25,-21.1,0.0,NW,2.1,Aotizhongxin,2017-01-29 20:00:00,0,public-derived
34361,2017,1,30,16,9.0,9.0,9.0,19.0,400.0,78.0,1.8,1030.2,-29.1,0.0,S,2.3,Aotizhongxin,2017-01-30 16:00:00,0,public-derived
34381,2017,1,31,12,79.0,79.0,42.0,55.0,1700.0,66.0,2.7,1024.1,-22.2,0.0,WNW,1.5,Aotizhongxin,2017-01-31 12:00:00,0,public-derived
34401,2017,2,1,8,7.0,11.0,12.0,25.0,500.0,58.0,-3.9,1035.6,-20.6,0.0,NE,1.9,Aotizhongxin,2017-02-01 08:00:00,0,public-derived
34421,2017,2,2,4,37.0,37.0,20.0,34.0,1000.0,88.0,-7.3,1029.6,-19.2,0.0,ENE,1.0,Aotizhongxin,2017-02-02 04:00:00,0,public-derived
34441,2017,2,3,0,148.0,148.0,58.0,127.0,300.0,29.0,-3.4,1021.8,-14.8,0.0,NE,0.3,Aotizhongxin,2017-02-03 00:00:00,0,public-derived
34461,2017,2,3,20,251.0,264.0,60.0,122.0,3300.0,81.0,-0.7,1016.9,-10.6,0.0,SE,0.9,Aotizhongxin,2017-02-03 20:00:00,0,public-derived
34481,2017,2,4,16,258.0,322.0,64.0,152.0,3800.0,71.0,8.3,1011.1,-5.9,0.0,SSW,1.7,Aotizhongxin,2017-02-04 16:00:00,0,public-derived
34501,2017,2,5,12,8.0,8.0,4.0,8.0,200.0,94.0,7.5,1018.6,-17.5,0.0,NNW,2.5,Aotizhongxin,2017-02-05 12:00:00,0,public-derived
34521,2017,2,6,8,5.0,12.0,10.0,39.0,400.0,54.0,-0.6,1028.9,-16.5,0.0,ENE,1.6,Aotizhongxin,2017-02-06 08:00:00,0,public-derived
34541,2017,2,7,4,67.0,74.0,19.0,72.0,1300.0,92.0,-0.6,1027.9,-10.8,0.0,ESE,1.1,Aotizhongxin,2017-02-07 04:00:00,0,public-derived
34561,2017,2,8,0,113.0,124.0,17.0,105.0,2600.0,2.0,-2.8,1026.3,-7.0,0.0,,0.2,Aotizhongxin,2017-02-08 00:00:00,0,public-derived
34581,2017,2,8,20,9.0,23.0,3.0,7.0,200.0,93.0,-1.4,1028.2,-21.5,0.0,N,3.7,Aotizhongxin,2017-02-08 20:00:00,0,public-derived
34601,2017,2,9,16,8.0,23.0,2.0,6.0,200.0,102.0,1.7,1022.1,-24.8,0.0,N,4.2,Aotizhongxin,2017-02-09 16:00:00,0,public-derived
34621,2017,2,10,12,5.0,14.0,3.0,7.0,300.0,101.0,1.2,1026.3,-23.4,0.0,NNW,4.4,Aotizhongxin,2017-02-10 12:00:00,0,public-derived
34641,2017,2,11,8,13.0,32.0,23.0,95.0,1300.0,8.0,-2.2,1025.9,-18.7,0.0,ENE,1.3,Aotizhongxin,2017-02-11 08:00:00,0,public-derived
34661,2017,2,12,4,46.0,46.0,17.0,47.0,900.0,34.0,-4.6,1023.2,-14.2,0.0,NE,0.1,Aotizhongxin,2017-02-12 04:00:00,0,public-derived
34681,2017,2,13,0,151.0,210.0,68.0,148.0,4200.0,6.0,-2.0,1023.5,-9.8,0.0,ENE,1.0,Aotizhongxin,2017-02-13 00:00:00,0,public-derived
34701,2017,2,13,20,89.0,143.0,25.0,104.0,1900.0,26.0,3.8,1029.0,-10.3,0.0,SE,0.6,Aotizhongxin,2017-02-13 20:00:00,0,public-derived
34721,2017,2,14,16,214.0,214.0,44.0,124.0,300.0,21.0,3.8,1026.1,-4.2,0.0,E,2.0,Aotizhongxin,2017-02-14 16:00:00,0,public-derived
34741,2017,2,15,12,265.0,265.0,72.0,126.0,3000.0,32.0,5.4,1017.0,-5.9,0.0,S,0.9,Aotizhongxin,2017-02-15 12:00:00,0,public-derived
34761,2017,2,16,8,236.0,236.0,48.0,102.0,2000.0,4.0,4.9,1010.5,-7.0,0.0,NNE,2.0,Aotizhongxin,2017-02-16 08:00:00,0,public-derived
34781,2017,2,17,4,10.0,32.0,5.0,45.0,300.0,24.0,0.0,1028.0,-21.6,0.0,NNW,2.9,Aotizhongxin,2017-02-17 04:00:00,0,public-derived
34801,2017,2,18,0,56.0,88.0,19.0,60.0,900.0,12.0,2.1,1022.7,-15.5,0.0,WSW,2.2,Aotizhongxin,2017-02-18 00:00:00,0,public-derived
34821,2017,2,18,20,90.0,118.0,26.0,84.0,1000.0,25.0,5.7,1013.1,-12.4,0.0,SSE,1.8,Aotizhongxin,2017-02-18 20:00:00,0,public-derived
34841,2017,2,19,16,17.0,145.0,2.0,20.0,300.0,84.0,10.3,1005.2,-21.3,0.0,N,6.1,Aotizhongxin,2017-02-19 16:00:00,0,public-derived
34861,2017,2,20,12,,6.0,7.0,10.0,300.0,,0.7,1029.5,-23.1,0.0,NNW,3.0,Aotizhongxin,2017-02-20 12:00:00,2,public-derived
34881,2017,2,21,8,,,,,,,-0.3,1028.8,-15.8,0.0,SSE,1.0,Aotizhongxin,2017-02-21 08:00:00,6,public-derived
34901,2017,2,22,4,86.0,86.0,2.0,36.0,1100.0,30.0,-2.3,1018.4,-5.6,0.0,SW,1.2,Aotizhongxin,2017-02-22 04:00:00,0,public-derived
34921,2017,2,23,0,13.0,22.0,6.0,30.0,400.0,80.0,1.6,1024.9,-12.2,0.0,NW,3.0,Aotizhongxin,2017-02-23 00:00:00,0,public-derived
34941,2017,2,23,20,33.0,43.0,7.0,77.0,700.0,42.0,5.3,1022.2,-10.5,0.0,WSW,2.0,Aotizhongxin,2017-02-23 20:00:00,0,public-derived
34961,2017,2,24,16,11.0,13.0,11.0,11.0,300.0,109.0,11.5,1018.5,-13.5,0.0,NNW,3.3,Aotizhongxin,2017-02-24 16:00:00,0,public-derived
34981,2017,2,25,12,12.0,12.0,4.0,12.0,300.0,103.0,11.3,1018.5,-11.5,0.0,NW,2.6,Aotizhongxin,2017-02-25 12:00:00,0,public-derived
35001,2017,2,26,8,30.0,51.0,18.0,94.0,1500.0,5.0,3.7,1022.2,-8.4,0.0,ENE,1.7,Aotizhongxin,2017-02-26 08:00:00,0,public-derived
35021,2017,2,27,4,94.0,131.0,20.0,106.0,2400.0,5.0,1.8,1019.3,-6.8,0.0,NNE,1.1,Aotizhongxin,2017-02-27 04:00:00,0,public-derived
35041,2017,2,28,0,56.0,56.0,22.0,119.0,1400.0,18.0,9.9,1015.6,-8.3,0.0,NNE,1.5,Aotizhongxin,2017-02-28 00:00:00,0,public-derived
35061,2017,2,28,20,13.0,37.0,7.0,45.0,500.0,81.0,11.6,1013.6,-15.1,0.0,WNW,0.9,Aotizhongxin,2017-02-28 20:00:00,0,public-derived
17,2013,3,1,16,3.0,28.0,5.0,9.0,300.0,92.0,5.4,1022.8,-20.0,0.0,NE,2.2,Changping,2013-03-01 16:00:00,0,public-derived
37,2013,3,2,12,31.0,41.0,42.0,51.0,700.0,38.0,1.9,1024.2,-17.1,0.0,WSW,1.6,Changping,2013-03-02 12:00:00,0,public-derived
57,2013,3,3,8,58.0,75.0,51.0,71.0,2399.0,12.0,-0.3,1012.8,-11.4,0.0,NNW,0.5,Changping,2013-03-03 08:00:00,0,public-derived
77,2013,3,4,4,7.0,13.0,3.0,10.0,300.0,80.0,4.8,1014.6,-12.2,0.0,NW,2.6,Changping,2013-03-04 04:00:00,0,public-derived
97,2013,3,5,0,57.0,69.0,20.0,37.0,900.0,95.0,2.8,1012.1,-11.2,0.0,ENE,0.4,Changping,2013-03-05 00:00:00,0,public-derived
117,2013,3,5,20,173.0,187.0,68.0,127.0,2299.0,81.0,6.3,1005.9,-7.3,0.0,NNE,0.7,Changping,2013-03-05 20:00:00,0,public-derived
137,2013,3,6,16,302.0,352.0,112.0,158.0,3100.0,66.0,13.3,1002.2,-3.9,0.0,ESE,1.6,Changping,2013-03-06 16:00:00,0,public-derived
157,2013,3,7,12,174.0,183.0,58.0,62.0,1300.0,41.0,16.3,998.4,-4.3,0.0,ESE,1.5,Changping,2013-03-07 12:00:00,0,public-derived
177,2013,3,8,8,79.0,159.0,46.0,84.0,1700.0,65.0,11.2,997.8,-4.1,0.0,ESE,1.7,Changping,2013-03-08 08:00:00,0,public-derived
197,2013,3,9,4,97.0,112.0,33.0,40.0,1399.0,107.0,1.9,988.9,-3.0,0.0,NNE,0.7,Changping,2013-03-09 04:00:00,0,public-derived
217,2013,3,10,0,12.0,20.0,3.0,10.0,500.0,94.0,4.4,1017.8,-20.1,0.0,NW,2.0,Changping,2013-03-10 00:00:00,0,public-derived
237,2013,3,10,20,69.0,118.0,29.0,73.0,900.0,103.0,5.8,1015.7,-12.8,0.0,E,0.8,Changping,2013-03-10 20:00:00,0,public-derived
257,2013,3,11,16,150.0,172.0,103.0,105.0,1500.0,96.0,10.0,1006.2,-7.7,0.0,SE,1.8,Changping,2013-03-11 16:00:00,0,public-derived
277,2013,3,12,12,150.0,138.0,20.0,81.0,1899.0,42.0,4.4,1003.9,2.3,0.0,W,1.3,Changping,2013-03-12 12:00:00,0,public-derived
297,2013,3,13,8,3.0,6.0,10.0,22.0,400.0,80.0,4.5,1021.8,-18.5,0.0,N,3.6,Changping,2013-03-13 08:00:00,0,public-derived
317,2013,3,14,4,73.0,75.0,21.0,69.0,1500.0,92.0,-0.4,1021.0,-5.6,0.0,ESE,1.7,Changping,2013-03-14 04:00:00,0,public-derived
337,2013,3,15,0,127.0,142.0,57.0,72.0,1600.0,50.0,0.9,1014.7,-3.8,0.0,NNW,1.0,Changping,2013-03-15 00:00:00,0,public-derived
357,2013,3,15,20,262.0,287.0,77.0,129.0,2299.0,81.0,7.3,1010.6,-1.4,0.0,N,0.2,Changping,2013-03-15 20:00:00,0,public-derived
377,2013,3,16,16,139.0,145.0,51.0,50.0,1600.0,107.0,13.4,1011.5,0.1,0.0,SW,2.9,Changping,2013-03-16 16:00:00,0,public-derived
397,2013,3,17,12,249.0,299.0,89.0,90.0,2399.0,107.0,13.0,996.9,1.9,0.0,ESE,1.9,Changping,2013-03-17 12:00:00,0,public-derived
417,2013,3,18,8,6.0,6.0,3.0,9.0,200.0,85.0,7.6,1000.9,-17.5,0.0,NNW,4.6,Changping,2013-03-18 08:00:00,0,public-derived
437,2013,3,19,4,30.0,6.0,3.0,25.0,500.0,35.0,-0.2,1002.7,-2.6,0.0,ESE,1.0,Changping,2013-03-19 04:00:00,0,public-derived
457,2013,3,20,0,5.0,10.0,3.0,19.0,700.0,46.0,-0.6,1014.4,-1.3,1.8,E,1.1,Changping,2013-03-20 00:00:00,0,public-derived
477,2013,3,20,20,81.0,82.0,7.0,49.0,900.0,37.0,2.1,1010.5,-2.4,0.0,E,0.7,Changping,2013-03-20 20:00:00,0,public-derived
497,2013,3,21,16,3.0,163.0,26.0,49.0,1200.0,72.0,6.7,996.7,-1.7,0.0,NNE,1.0,Changping,2013-03-21 16:00:00,0,public-derived
517,2013,3,22,12,21.0,33.0,6.0,25.0,500.0,67.0,9.6,1008.9,-7.2,0.0,SSW,3.3,Changping,2013-03-22 12:00:00,0,public-derived
537,2013,3,23,8,56.0,78.0,15.0,52.0,1300.0,11.0,1.6,1002.8,-4.3,0.0,ESE,2.1,Changping,2013-03-23 08:00:00,0,public-derived
557,2013,3,24,4,5.0,22.0,3.0,19.0,500.0,61.0,0.1,1015.3,-15.9,0.0,N,2.9,Changping,2013-03-24 04:00:00,0,public-derived
577,2013,3,25,0,41.0,66.0,6.0,35.0,,41.769,2.3,1013.3,-10.6,0.0,E,0.8,Changping,2013-03-25 00:00:00,1,public-derived
597,2013,3,25,20,133.0,176.0,27.0,95.0,1500.0,28.0,5.3,1009.7,-5.7,0.0,ESE,0.6,Changping,2013-03-25 20:00:00,0,public-derived
617,2013,3,26,16,223.0,247.0,56.0,80.0,1500.0,69.0,12.4,1000.2,-1.5,0.0,ESE,1.4,Changping,2013-03-26 16:00:00,0,public-derived
637,2013,3,27,12,52.0,67.0,22.0,34.0,900.0,70.0,17.9,999.7,-6.1,0.0,NW,6.1,Changping,2013-03-27 12:00:00,0,public-derived
657,2013,3,28,8,21.0,38.0,3.0,57.0,900.0,29.0,5.8,1014.6,-15.5,0.0,SW,1.2,Changping,2013-03-28 08:00:00,0,public-derived
677,2013,3,29,4,26.0,50.0,3.0,31.0,700.0,42.0,1.9,1014.0,-12.7,0.0,W,1.7,Changping,2013-03-29 04:00:00,0,public-derived
