会员号,卡等级,最近乘机天数,年飞行次数,年消费,分层,里程余额
A120918,普卡,232,18,32744.91,流失预警,49133
A711365,银卡,11,17,68469.09,成长,151270
A635656,白金,141,2,32123.2,成长,56884
A827991,金卡,132,18,116757.86,成长,82103
A456923,白金,245,47,9363.42,流失预警,71778
A232332,银卡,378,36,75343.7,流失预警,95181
A810508,普卡,269,5,46316.44,流失预警,49270
A346857,金卡,72,45,97954.38,成长,123512
A196597,金卡,77,33,73482.02,成长,126201
A361687,金卡,73,50,105703.13,成长,121870
A790716,普卡,155,8,63439.93,成长,39742
A707747,普卡,245,38,39533.09,流失预警,179275
A801276,金卡,67,22,115160.08,成长,55537
A240210,普卡,109,44,60606.24,成长,82516
A355017,普卡,123,40,20378.58,成长,55440
A865944,普卡,231,7,48006.48,流失预警,170666
A305595,银卡,342,46,98744.17,流失预警,83760
A283930,普卡,392,14,93752.07,流失预警,78276
A704561,普卡,275,18,84040.83,流失预警,80495
A334500,金卡,318,17,46547.52,流失预警,144240
A680912,银卡,203,34,12587.19,流失预警,86276
A780232,金卡,264,41,104439.41,流失预警,127505
A686277,银卡,78,32,106520.41,成长,107269
A791617,银卡,151,16,51843.36,成长,10366
A706791,白金,297,14,107325.4,流失预警,86847
A326437,普卡,44,40,45333.62,高价值,42471
A870886,普卡,137,44,95941.36,成长,106000
A681395,普卡,92,1,30424.29,成长,51594
A221172,普卡,56,1,118613.03,成长,179780
A362348,银卡,211,37,37479.41,流失预警,25909
A753456,银卡,150,29,25424.6,成长,10824
A174639,银卡,224,11,8535.43,流失预警,118830
A536156,白金,134,46,43562.54,成长,103126
A747333,金卡,376,9,117427.17,流失预警,52253
A554671,银卡,45,3,3759.76,成长,30448
A103426,金卡,201,45,6199.29,流失预警,67558
A879498,银卡,109,50,54609.87,成长,130110
A306432,银卡,287,3,74271.02,流失预警,68648
A619605,金卡,174,31,18780.49,成长,8548
A827356,白金,224,7,47352.7,流失预警,7963
A419808,银卡,114,32,15628.97,成长,39361
A454412,白金,157,27,77772.16,成长,71963
A108363,银卡,4,16,2907.06,成长,146814
A360794,银卡,95,10,89528.66,成长,190733
A751178,金卡,134,13,65080.58,成长,115366
A205231,白金,366,44,16972.41,流失预警,5479
A744807,银卡,105,46,107228.11,成长,194078
A636756,白金,347,27,40302.55,流失预警,122122
A226363,金卡,40,45,107352.14,高价值,115678
A766968,白金,116,48,79406.87,成长,141722
A282778,普卡,189,10,117880.44,成长,14015
A431853,金卡,284,14,83114.23,流失预警,166262
A320812,白金,320,2,89539.28,流失预警,110084
A202190,银卡,172,3,45379.88,成长,102860
A678426,金卡,318,17,119437.94,流失预警,149194
A169650,金卡,250,3,53883.56,流失预警,48980
A140792,白金,88,26,13361.72,成长,103211
A245431,金卡,56,33,43611.45,高价值,118819
A854645,白金,20,40,33406.13,高价值,171304
A795277,金卡,8,43,32430.92,高价值,184653
A430806,金卡,350,15,92255,流失预警,38950
A330823,银卡,239,38,106428.9,流失预警,83947
A229430,普卡,260,25,40444.27,流失预警,21300
A452441,白金,65,10,96255.88,成长,174432
A155512,金卡,319,14,28595.01,流失预警,45347
A225180,银卡,23,28,53888.59,高价值,66094
A622997,银卡,38,39,84530.61,高价值,94266
A196299,银卡,326,25,67293.1,流失预警,179065
A297748,白金,88,38,43161.99,成长,188776
A600561,白金,362,34,69768.77,流失预警,9355
A210010,银卡,155,15,19130.27,成长,57689
A748991,普卡,206,40,100547.36,流失预警,19558
A811500,银卡,45,43,16296.6,高价值,199087
A128589,银卡,307,44,44946.63,流失预警,1553
A174190,白金,298,16,20550.46,流失预警,92045
A898123,白金,82,3,28235.31,成长,72927
A839959,银卡,39,45,88367.03,高价值,189362
A666173,白金,168,30,34784.05,成长,104927
A370216,金卡,149,19,61506.94,成长,67096
A437010,银卡,346,2,70079.46,流失预警,55549
A410554,金卡,117,35,105940.57,成长,159956
A476675,金卡,53,12,28231.02,成长,60429
A485335,白金,41,8,32013.48,成长,192409
A616724,普卡,370,15,31719.01,流失预警,195362
A320155,白金,89,7,28165.88,成长,19015
A776339,金卡,210,36,40854.15,流失预警,34768
A832926,白金,137,37,98957.28,成长,93992
A488162,金卡,10,18,64426.83,成长,76754
A625413,白金,97,18,93205.63,成长,85595
A175287,普卡,97,20,95444.96,成长,111684
A186725,普卡,44,18,2526.69,成长,166870
A808821,白金,235,14,106153.54,流失预警,190005
A815956,普卡,232,36,72097.85,流失预警,199908
A784576,金卡,195,14,58528.22,成长,128857
A687281,金卡,102,33,69861.1,成长,46419
A377344,普卡,241,10,80853.62,流失预警,31430
A177806,金卡,205,45,80350.71,流失预警,192886
A842085,普卡,152,40,58335.33,成长,39307
A703824,银卡,68,6,35380.43,成长,32685
A853832,普卡,109,37,72420.77,成长,138703
A302417,白金,142,44,35008.75,成长,73016
A177038,白金,129,24,50162.38,成长,128151
A192607,普卡,116,7,73690.27,成长,136871
A893575,普卡,272,9,89078.4,流失预警,156847
A340670,普卡,237,11,42318.8,流失预警,97636
A337760,金卡,46,26,20605.78,高价值,91777
A836822,金卡,197,23,100929.14,成长,114383
A454817,白金,387,30,4227.79,流失预警,134198
A379072,白金,106,38,116381,成长,77552
A784089,银卡,315,41,116923.66,流失预警,44448
A666364,白金,136,23,105291.14,成长,25165
A683618,金卡,9,25,86223.16,高价值,147881
A463418,普卡,218,15,16650.69,流失预警,57965
A192955,银卡,182,39,80752.12,成长,131272
A888752,银卡,225,2,94375.97,流失预警,103770
A476267,白金,158,39,92961.89,成长,142755
A812524,银卡,347,34,119091.49,流失预警,164098
A327718,金卡,360,7,28593.7,流失预警,33867
A713794,银卡,110,5,57018.53,成长,63723
A390848,金卡,302,2,78282.08,流失预警,31256
A515445,金卡,108,17,14857.4,成长,100904
A673766,银卡,301,9,19809.19,流失预警,20558
A642882,普卡,271,6,82510.13,流失预警,157093
A879418,金卡,383,38,99124.89,流失预警,11890
A843458,白金,249,15,104581.54,流失预警,75617
A622944,白金,196,30,2142.39,成长,20825
A292371,金卡,186,9,36674.99,成长,170431
A524079,银卡,180,9,7562.7,成长,182537
A680454,白金,226,27,58720.21,流失预警,177517
A897953,白金,116,42,47662.3,成长,130190
A343259,银卡,145,9,61350.87,成长,62174
A438837,金卡,310,41,85251.07,流失预警,173678
A518854,普卡,197,26,79925.92,成长,128244
A638096,白金,194,20,115925.98,成长,26965
A633574,银卡,178,31,90729.2,成长,107320
A196662,普卡,310,9,38457.7,流失预警,181802
A474314,白金,209,50,48472.99,流失预警,159586
A633433,白金,216,1,23757.69,流失预警,176275
A898310,银卡,254,22,43242.17,流失预警,196077
A884223,普卡,349,8,72708.74,流失预警,99672
A310472,白金,212,45,82105.63,流失预警,132943
A541635,银卡,325,41,47474.02,流失预警,57333
A520746,金卡,69,48,66737.96,成长,184243
A318855,白金,245,8,108120.55,流失预警,183653
A390680,白金,308,44,59351.87,流失预警,193736
A206121,金卡,232,45,44514.18,流失预警,161290
A241379,银卡,20,48,57298.15,高价值,88023
A702187,银卡,18,34,52311.4,高价值,192910
A334647,金卡,293,39,44558.15,流失预警,46645
A188087,白金,385,28,114808.95,流失预警,19994
A552714,白金,399,40,117766.37,流失预警,172384
A595715,银卡,280,24,99129.92,流失预警,84646
A277663,银卡,370,31,69814.1,流失预警,137570
A163423,金卡,41,2,53785.51,成长,192618
A893991,普卡,213,28,26582.38,流失预警,61885
A759856,银卡,69,6,93671.07,成长,140244
A388337,银卡,84,23,15280.26,成长,3005
A748629,普卡,11,13,15657.73,成长,6734
A851691,银卡,257,46,79256.23,流失预警,186909
A855367,普卡,185,13,104887.94,成长,38393
A406021,白金,291,35,44151.08,流失预警,58729
A309790,普卡,211,1,90694.84,流失预警,65096
A352192,金卡,260,3,59322,流失预警,131433
A551307,普卡,387,38,98168,流失预警,36348
A413254,银卡,225,4,63275.95,流失预警,65987
A135483,银卡,280,47,63283.67,流失预警,175564
A782286,白金,18,49,26511.94,高价值,34655
A585479,金卡,368,33,1195.54,流失预警,81008
A208038,普卡,12,24,79012.06,高价值,85012
A112041,银卡,285,47,70178.55,流失预警,183510
A403872,金卡,25,19,16995.37,成长,105810
A793742,金卡,323,49,102379.58,流失预警,58721
A617255,银卡,14,44,28351.85,高价值,71584
A190164,银卡,5,25,90830.67,高价值,112953
A372469,白金,148,8,29453.02,成长,87369
A720828,金卡,180,33,68519.04,成长,140605
A821840,金卡,93,36,112268.97,成长,89423
A647851,银卡,170,11,33638.73,成长,35742
A570879,金卡,123,12,7436.82,成长,76275
A463369,普卡,74,47,45932.9,成长,146124
A807534,白金,94,48,52510.92,成长,66071
A388323,白金,20,43,111940.03,高价值,107986
A120978,金卡,183,42,76140.41,成长,10900
A607841,银卡,142,15,68443.18,成长,3018
A591712,白金,54,14,95595.71,成长,24417
A350641,普卡,231,31,23885.11,流失预警,100698
A163358,金卡,228,9,97689.18,流失预警,182775
A410575,金卡,218,39,107652.15,流失预警,20658
A617968,白金,318,10,47878.42,流失预警,55124
A599601,银卡,399,14,48952.77,流失预警,153374
A760910,白金,59,6,54920.32,成长,182399
A638065,银卡,83,35,63312.4,成长,95539
A805935,金卡,386,5,18284.79,流失预警,156787
A136047,金卡,218,19,14410.26,流失预警,149679
A279574,银卡,63,12,96394.97,成长,195104
A678483,银卡,166,27,52724.71,成长,76760
A726101,白金,187,35,17149.62,成长,66381
A361804,普卡,32,22,51338.57,高价值,34207
A607944,普卡,156,30,110736.32,成长,199592
A797474,白金,179,19,85146.3,成长,118665
A167466,银卡,243,7,112099.92,流失预警,25286
A179939,普卡,105,16,39225.42,成长,117501
A731720,金卡,163,20,37480.89,成长,136655
A212200,白金,217,47,77624.69,流失预警,26617
A514883,银卡,250,27,96092.42,流失预警,165193
A860172,金卡,195,45,46124.38,成长,115614
A198617,银卡,272,38,115232.95,流失预警,23669
A799769,普卡,364,31,63765.45,流失预警,20945
A528677,普卡,386,36,97678.72,流失预警,147644
A380751,普卡,222,2,60679.14,流失预警,149322
A218725,普卡,392,11,6590.61,流失预警,135995
A567883,普卡,389,42,74541.63,流失预警,151961
A286353,金卡,179,29,54029.92,成长,115369
A363088,白金,339,12,10622.16,流失预警,90025
A822393,金卡,246,19,2260.99,流失预警,173488
A520218,白金,175,49,45361.92,成长,90690
